dashboard=http://127.0.0.1:8766
GBPUSD side=hold confidence=0.75 reason=AI provisional sell: no strict validation-qualified models; probability 0.75 vs 0.12, gap 0.63, validation accuracy 25.4%, precision 16.2%, models 6, rows 214; RSI 64.1, ADX 23.4, ATR 3.8 pips, return_3 0.025%, volatility ratio 1.10; provisional validation accuracy below 0.45
USDJPY side=hold confidence=0.93 reason=AI provisional sell: no strict validation-qualified models; probability 0.93 vs 0.07, gap 0.85, validation accuracy 34.2%, precision 33.7%, models 6, rows 214; RSI 57.8, ADX 12.7, ATR 1.9 pips, return_3 -0.001%, volatility ratio 0.81; provisional validation accuracy below 0.45
USDCHF side=hold confidence=0.06 reason=AI ensemble sell: probability 0.06 vs 0.00, gap 0.06, validation accuracy 64.6%, precision 100.0%, models 2, rows 214; RSI 37.3, ADX 21.8, ATR 2.3 pips, return_3 -0.048%, volatility ratio 0.97; probability below 0.68
AUDUSD side=hold confidence=0.07 reason=AI ensemble buy: probability 0.07 vs 0.00, gap 0.07, validation accuracy 63.0%, precision 100.0%, models 1, rows 214; RSI 58.1, ADX 28.3, ATR 2.4 pips, return_3 0.018%, volatility ratio 0.90; probability below 0.68
USDCAD side=hold confidence=0.06 reason=AI ensemble sell: probability 0.06 vs 0.00, gap 0.06, validation accuracy 70.1%, precision 95.7%, models 2, rows 211; RSI 47.2, ADX 38.9, ATR 2.6 pips, return_3 0.021%, volatility ratio 0.82; probability below 0.68
EURUSD side=hold confidence=0.91 reason=AI provisional sell: no strict validation-qualified models; probability 0.91 vs 0.07, gap 0.84, validation accuracy 14.6%, precision 11.8%, models 6, rows 214; RSI 67.4, ADX 38.2, ATR 2.7 pips, return_3 0.030%, volatility ratio 0.89; provisional validation accuracy below 0.45
GBPUSD side=hold confidence=0.77 reason=AI provisional sell: no strict validation-qualified models; probability 0.77 vs 0.11, gap 0.67, validation accuracy 25.4%, precision 16.2%, models 6, rows 214; RSI 64.7, ADX 23.4, ATR 3.8 pips, return_3 0.028%, volatility ratio 1.11; provisional validation accuracy below 0.45
USDJPY side=hold confidence=0.93 reason=AI provisional sell: no strict validation-qualified models; probability 0.93 vs 0.08, gap 0.86, validation accuracy 34.2%, precision 33.7%, models 6, rows 214; RSI 59.7, ADX 12.7, ATR 1.9 pips, return_3 0.001%, volatility ratio 0.80; provisional validation accuracy below 0.45
USDCHF side=hold confidence=0.05 reason=AI ensemble sell: probability 0.05 vs 0.00, gap 0.05, validation accuracy 64.6%, precision 100.0%, models 2, rows 214; RSI 36.6, ADX 21.8, ATR 2.4 pips, return_3 -0.052%, volatility ratio 0.97; probability below 0.68
AUDUSD side=hold confidence=0.07 reason=AI ensemble buy: probability 0.07 vs 0.00, gap 0.07, validation accuracy 64.8%, precision 100.0%, models 1, rows 214; RSI 57.0, ADX 28.3, ATR 2.4 pips, return_3 0.014%, volatility ratio 0.91; probability below 0.68
USDCAD side=hold confidence=0.06 reason=AI ensemble sell: probability 0.06 vs 0.00, gap 0.06, validation accuracy 70.1%, precision 95.7%, models 2, rows 211; RSI 43.2, ADX 39.1, ATR 2.7 pips, return_3 0.011%, volatility ratio 0.87; probability below 0.68
EURUSD side=hold confidence=0.93 reason=AI provisional sell: no strict validation-qualified models; probability 0.93 vs 0.06, gap 0.87, validation accuracy 14.6%, precision 11.8%, models 6, rows 214; RSI 65.6, ADX 38.3, ATR 2.7 pips, return_3 0.023%, volatility ratio 0.90; provisional validation accuracy below 0.45
GBPUSD side=hold confidence=0.75 reason=AI provisional sell: no strict validation-qualified models; probability 0.75 vs 0.14, gap 0.61, validation accuracy 25.4%, precision 16.2%, models 6, rows 214; RSI 64.8, ADX 23.8, ATR 3.9 pips, return_3 0.028%, volatility ratio 1.11; provisional validation accuracy below 0.45
USDJPY side=hold confidence=0.91 reason=AI provisional sell: no strict validation-qualified models; probability 0.91 vs 0.13, gap 0.78, validation accuracy 34.2%, precision 33.7%, models 6, rows 214; RSI 56.3, ADX 12.6, ATR 1.9 pips, return_3 -0.002%, volatility ratio 0.82; provisional validation accuracy below 0.45
USDCHF side=hold confidence=0.06 reason=AI ensemble sell: probability 0.06 vs 0.00, gap 0.06, validation accuracy 64.6%, precision 100.0%, models 2, rows 214; RSI 37.1, ADX 22.0, ATR 2.4 pips, return_3 -0.049%, volatility ratio 0.97; probability below 0.68
AUDUSD side=hold confidence=0.09 reason=AI ensemble buy: probability 0.09 vs 0.00, gap 0.09, validation accuracy 64.8%, precision 100.0%, models 1, rows 214; RSI 53.5, ADX 28.3, ATR 2.4 pips, return_3 0.000%, volatility ratio 0.94; probability below 0.68
USDCAD side=hold confidence=0.05 reason=AI ensemble sell: probability 0.05 vs 0.00, gap 0.05, validation accuracy 70.1%, precision 95.7%, models 2, rows 211; RSI 46.2, ADX 39.1, ATR 2.7 pips, return_3 0.019%, volatility ratio 0.83; probability below 0.68
EURUSD side=hold confidence=0.89 reason=AI provisional sell: no strict validation-qualified models; probability 0.89 vs 0.11, gap 0.78, validation accuracy 14.1%, precision 12.6%, models 6, rows 214; RSI 66.0, ADX 38.9, ATR 2.6 pips, return_3 0.022%, volatility ratio 0.91; provisional validation accuracy below 0.45
GBPUSD side=hold confidence=0.75 reason=AI provisional sell: no strict validation-qualified models; probability 0.75 vs 0.09, gap 0.66, validation accuracy 24.2%, precision 14.2%, models 6, rows 214; RSI 65.2, ADX 24.3, ATR 3.7 pips, return_3 0.039%, volatility ratio 1.11; provisional validation accuracy below 0.45
USDJPY side=hold confidence=0.86 reason=AI provisional sell: no strict validation-qualified models; probability 0.86 vs 0.09, gap 0.77, validation accuracy 30.2%, precision 31.4%, models 6, rows 214; RSI 55.5, ADX 12.0, ATR 1.8 pips, return_3 -0.005%, volatility ratio 0.76; provisional validation accuracy below 0.45
USDCHF side=hold confidence=0.08 reason=AI ensemble sell: probability 0.08 vs 0.00, gap 0.08, validation accuracy 67.4%, precision 89.1%, models 2, rows 214; RSI 37.7, ADX 22.7, ATR 2.3 pips, return_3 -0.046%, volatility ratio 0.97; probability below 0.68
AUDUSD side=hold confidence=0.05 reason=AI ensemble buy: probability 0.05 vs 0.00, gap 0.05, validation accuracy 64.8%, precision 100.0%, models 1, rows 214; RSI 54.1, ADX 28.8, ATR 2.3 pips, return_3 0.000%, volatility ratio 1.04; probability below 0.68
USDCAD side=hold confidence=0.11 reason=AI ensemble sell: probability 0.11 vs 0.00, gap 0.11, validation accuracy 71.3%, precision 88.1%, models 2, rows 211; RSI 47.2, ADX 37.1, ATR 2.5 pips, return_3 0.002%, volatility ratio 0.85; probability below 0.68
EURUSD side=hold confidence=0.87 reason=AI provisional sell: no strict validation-qualified models; probability 0.87 vs 0.12, gap 0.74, validation accuracy 14.1%, precision 12.6%, models 6, rows 214; RSI 63.7, ADX 38.1, ATR 2.7 pips, return_3 0.016%, volatility ratio 0.92; provisional validation accuracy below 0.45
